"Population"	"Units"	"Date"	"Age"	"Ethnic Grou"	"region"	"Highest Level of Qualification"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East Midlands"	"Other qualifications"	"number"	776	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"West Midlands"	"No qualifications"	"number"	4080	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 1 qualifications"	"number"	2499	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 2 qualifications"	"number"	2772	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"West Midlands"	"Apprenticeship"	"number"	566	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 3 qualifications"	"number"	1930	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 4 qualifications and above"	"number"	5584	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"West Midlands"	"Other qualifications"	"number"	1543	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East"	"No qualifications"	"number"	1489	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East"	"Level 1 qualifications"	"number"	1473	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East"	"Level 2 qualifications"	"number"	1624	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East"	"Apprenticeship"	"number"	324	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East"	"Level 3 qualifications"	"number"	1072	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East"	"Level 4 qualifications and above"	"number"	4868	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"East"	"Other qualifications"	"number"	919	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"London"	"No qualifications"	"number"	19459	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"London"	"Level 1 qualifications"	"number"	16869	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"London"	"Level 2 qualifications"	"number"	16518	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"London"	"Apprenticeship"	"number"	2112	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"London"	"Level 3 qualifications"	"number"	11605	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"London"	"Level 4 qualifications and above"	"number"	42536	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"London"	"Other qualifications"	"number"	12252	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South East"	"No qualifications"	"number"	1736	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South East"	"Level 1 qualifications"	"number"	1584	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South East"	"Level 2 qualifications"	"number"	1637	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South East"	"Apprenticeship"	"number"	339	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South East"	"Level 3 qualifications"	"number"	1162	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South East"	"Level 4 qualifications and above"	"number"	5892	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South East"	"Other qualifications"	"number"	1133	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South West"	"No qualifications"	"number"	855	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South West"	"Level 1 qualifications"	"number"	686	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South West"	"Level 2 qualifications"	"number"	611	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South West"	"Apprenticeship"	"number"	139	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South West"	"Level 3 qualifications"	"number"	405	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South West"	"Level 4 qualifications and above"	"number"	1698	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"South West"	"Other qualifications"	"number"	391	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Wales"	"No qualifications"	"number"	366	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Wales"	"Level 1 qualifications"	"number"	169	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Wales"	"Level 2 qualifications"	"number"	166	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Wales"	"Apprenticeship"	"number"	46	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Wales"	"Level 3 qualifications"	"number"	100	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Wales"	"Level 4 qualifications and above"	"number"	596	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Black/African/Caribbean/Black British"	"Wales"	"Other qualifications"	"number"	129	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North East"	"No qualifications"	"number"	163	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North East"	"Level 1 qualifications"	"number"	53	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North East"	"Level 2 qualifications"	"number"	89	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North East"	"Apprenticeship"	"number"	14	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North East"	"Level 3 qualifications"	"number"	56	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North East"	"Level 4 qualifications and above"	"number"	438	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North East"	"Other qualifications"	"number"	159	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North West"	"No qualifications"	"number"	731	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North West"	"Level 1 qualifications"	"number"	204	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North West"	"Level 2 qualifications"	"number"	231	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North West"	"Apprenticeship"	"number"	33	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North West"	"Level 3 qualifications"	"number"	229	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North West"	"Level 4 qualifications and above"	"number"	1719	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"North West"	"Other qualifications"	"number"	598	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Yorkshire and The Humber"	"No qualifications"	"number"	668	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	221	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	197	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	49	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	176	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	1176	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Yorkshire and The Humber"	"Other qualifications"	"number"	518	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East Midlands"	"No qualifications"	"number"	617	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East Midlands"	"Level 1 qualifications"	"number"	200	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East Midlands"	"Level 2 qualifications"	"number"	179	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East Midlands"	"Apprenticeship"	"number"	48	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East Midlands"	"Level 3 qualifications"	"number"	117	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East Midlands"	"Level 4 qualifications and above"	"number"	835	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East Midlands"	"Other qualifications"	"number"	464	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"West Midlands"	"No qualifications"	"number"	1572	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"West Midlands"	"Level 1 qualifications"	"number"	417	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"West Midlands"	"Level 2 qualifications"	"number"	370	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"West Midlands"	"Apprenticeship"	"number"	73	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"West Midlands"	"Level 3 qualifications"	"number"	222	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"West Midlands"	"Level 4 qualifications and above"	"number"	1294	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"West Midlands"	"Other qualifications"	"number"	889	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East"	"No qualifications"	"number"	559	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East"	"Level 1 qualifications"	"number"	231	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East"	"Level 2 qualifications"	"number"	256	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East"	"Apprenticeship"	"number"	32	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East"	"Level 3 qualifications"	"number"	212	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East"	"Level 4 qualifications and above"	"number"	1467	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"East"	"Other qualifications"	"number"	587	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"London"	"No qualifications"	"number"	8149	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"London"	"Level 1 qualifications"	"number"	2323	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"London"	"Level 2 qualifications"	"number"	2097	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"London"	"Apprenticeship"	"number"	269	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"London"	"Level 3 qualifications"	"number"	1803	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"London"	"Level 4 qualifications and above"	"number"	10242	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"London"	"Other qualifications"	"number"	7422	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South East"	"No qualifications"	"number"	909	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South East"	"Level 1 qualifications"	"number"	432	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South East"	"Level 2 qualifications"	"number"	474	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South East"	"Apprenticeship"	"number"	71	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South East"	"Level 3 qualifications"	"number"	399	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South East"	"Level 4 qualifications and above"	"number"	2922	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South East"	"Other qualifications"	"number"	1231	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South West"	"No qualifications"	"number"	246	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South West"	"Level 1 qualifications"	"number"	131	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South West"	"Level 2 qualifications"	"number"	154	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South West"	"Apprenticeship"	"number"	29	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South West"	"Level 3 qualifications"	"number"	124	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South West"	"Level 4 qualifications and above"	"number"	872	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"South West"	"Other qualifications"	"number"	286	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Wales"	"No qualifications"	"number"	217	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Wales"	"Level 1 qualifications"	"number"	72	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Wales"	"Level 2 qualifications"	"number"	72	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Wales"	"Apprenticeship"	"number"	24	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Wales"	"Level 3 qualifications"	"number"	70	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 50 to 64"	"Other ethnic group"	"Wales"	"Level 4 qualifications and above"	"number"	657	""
